"iep_country","iep_geocode","ID","event_id","iep_region","The West","year","start_date","end_date","latitude","longitude","admin_name","event_type","perpetrators_1_name","perpetrators_1_type","perpetrators_2_name","perpetrators_2_type","perpetrators_3_name","perpetrators_3_type","source_urls_01","source_urls_02","suicide","specific_target","targets_1","targets_2","targets_3","targets_4","targets_5","targets_6","targets_7","deaths_total","hostages_total","injured_total","terrorists_killed","weapons_1","weapons_2","weapons_3","weapons_4","summary","intensity","conflict"
"Myanmar","MMR","MMR.1_1",59485,"Asia-Pacific","non-West",2021,2021-06-11,2021-06-11,16.77536,94.7381,"Ayeyarwady","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://twitter.com/LeongWaiKitCNA/status/1403206990696910848","https://www.irrawaddy.com/news/burma/bomb-explodes-at-chinese-backed-factory-in-myanmar.html",FALSE,"Chinese-owned factory","Retail Sector",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"A bomb of unspecified type detonated outside a Chinese-owned clothing factory in Pathein, Ayeyarwady region, on 11 June. It is unclear whether anyone was hurt. No one had claimed the attack at the time of writing, but based on target and tactic, 'civil resistance groups' were probably responsible.","war","conflict"
"Myanmar","MMR","MMR.15_1",59553,"Asia-Pacific","non-West",2021,2021-05-27,2021-05-27,16.784933,96.19884,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://www.laprensalatina.com/explosions-reported-in-yangon-residents-urged-to-stay-inside/","https://www.irrawaddy.com/news/burma/myanmar-junta-official-killed-as-explosions-rock-yangon-township.html",FALSE,"Junta administrator","Government/Political",NA,NA,NA,NA,NA,NA,1,0,0,0,"Explosives",NA,NA,NA,"A bombing killed a junta administrator in Man Pyay No. 3 Ward, Thaketa district, Yangon, Yangon region, at around 0800hrs on 27 May. No group had claimed the attack at the time of writing, but local media outlets reported that the 'Spring Revolution Union', a civil resistance group, was probably responsible.","war","conflict"
"Myanmar","MMR","MMR.15_1",59554,"Asia-Pacific","non-West",2021,2021-05-27,2021-05-27,16.80098,96.21105,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://www.laprensalatina.com/explosions-reported-in-yangon-residents-urged-to-stay-inside/","https://www.irrawaddy.com/news/burma/myanmar-junta-official-killed-as-explosions-rock-yangon-township.html",FALSE,"Unclear","Undetermined",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"At least five small explosive devices detonated in Thaketa township, Yangon, Yangon region, between 0800hrs and 0900hrs on 27 May. No one was hurt. No group had claimed the attack at the time of writing, but local media outlets reported that the 'Spring Revolution Group', a civil resistance group, was probably responsible.","war","conflict"
"Myanmar","MMR","MMR.15_1",59555,"Asia-Pacific","non-West",2021,2021-05-18,2021-05-18,16.778124,96.14077,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://www.irrawaddy.com/news/burma/local-official-of-myanmar-regime-shot-dead-in-downtown-yangon.html","https://myanmar-now.org/en/news/eight-explosions-and-the-shooting-death-of-an-accused-informant-reported-in-thaketa?page=1",FALSE,"Junta administrator","Government/Political",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"A bomb targetting a junta administrator caused no casualties when it detonated outside his office in Lanmadaw township, Yangon, Yangon region, in the morning on 18 May. No group had claimed the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59556,"Asia-Pacific","non-West",2021,2021-05-18,2021-05-18,16.776546,96.14165,"Yangon","Armed attack","Unknown","Undetermined",NA,NA,NA,NA,"https://www.irrawaddy.com/news/burma/local-official-of-myanmar-regime-shot-dead-in-downtown-yangon.html","https://myanmar-now.org/en/news/eight-explosions-and-the-shooting-death-of-an-accused-informant-reported-in-thaketa?page=1",FALSE,"","Government/Political",NA,NA,NA,NA,NA,NA,1,0,0,0,"Firearms",NA,NA,NA,"Gunmen killed the junta administrator of Ward No.3 on his way to his office in 8th Street, Lanmadaw township, Yangon, Yangon region, in the morning on 18 May. Assailants had previously detonated an explosive device outside his office on the same day. No group had claimed the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59557,"Asia-Pacific","non-West",2021,2021-05-01,2021-05-01,16.834358,96.16579,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://www.france24.com/en/live-news/20210501-bomb-blasts-and-flash-protests-as-myanmar-enters-fourth-month-under-junta-1","https://twitter.com/IrrawaddyNews/status/1388420487064162307",FALSE,"Unclear","Undetermined",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"At least five explosive devices caused an unconfirmed number of casualties in Yankin township, Yangon, in the afternoon of 1 May. No group had claimed the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59558,"Asia-Pacific","non-West",2021,2021-05-03,2021-05-03,16.80098,96.21105,"Yangon","Armed attack","Unknown","Undetermined",NA,NA,NA,NA,"https://www.irrawaddy.com/news/burma/myanmar-junta-official-killed-as-explosions-rock-yangon-township.html","https://www.frontiermyanmar.net/en/communities-defy-juntas-attempts-to-rule-wards-and-villages/",FALSE,"Junta administrator","Government/Political",NA,NA,NA,NA,NA,NA,1,0,0,0,"Melee weapons",NA,NA,NA,"Three men stabbed a junta administrator they accused of being a military informant to death in his office in West Ward No.7, Thaketa township, Yangon, Yangon region, on 3 May. No group had claimed the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59559,"Asia-Pacific","non-West",2021,2021-05-04,2021-05-04,16.840939,96.17352,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://voi.id/en/news/49467/recently-inaugurated-the-luxury-hospital-of-the-myanmar-military-regime-was-rocked-by-a-bomb-explosion","https://www.irrawaddy.com/news/burma/new-myanmar-junta-owned-hospital-targeted-bombs.html",FALSE,"Military-ran hospital","Medical Sector",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"Two bombs detonated in quick succession outsideMoe Kaung Treasure Maternal and Child Hospital in Yankin township, Yangon, Yangon region, at 2100hrs on 4 May. No one was hurt. The hospital is run by the military junta. No group had claimed the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59560,"Asia-Pacific","non-West",2021,2021-06-08,2021-06-08,16.83341,96.13262,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://elevenmyanmar.com/news/explosion-occurs-at-a-teashop-in-sanchaung-injuring-two","https://twitter.com/isme__K/status/1402238148608872451",FALSE,"Bus stop","Public Transportation","Undetermined",NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"An explosive device detonated near Tadaphyu bus stop, Pyay Road, Kamaryut Township, Yangon, Yangon region, at around 1550hrs on 8 June. No one was hurt. No group had claimed the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59564,"Asia-Pacific","non-West",2021,2021-06-12,2021-06-12,16.798586,96.149506,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://elevenmyanmar.com/news/explosion-occurs-in-a-car-in-sanchaung","https://twitter.com/MayKyelWinn/status/1404344705974898688",FALSE,"Shwedagon Pagoda","Religious Institutions","Civilians/General Public",NA,NA,NA,NA,NA,0,0,1,0,"Explosives",NA,NA,NA,"A bombing wounded a civilian near the southern entrance of the Shwedagon Pagoda in Bahan Township, Yangon, Yangon region, at around 0925hrs on 12 June. No one had claimed responsibility at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59566,"Asia-Pacific","non-West",2021,2021-06-13,2021-06-13,16.810839,96.1325,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://twitter.com/Wh2eZyn/status/1404100023806312449","https://elevenmyanmar.com/news/explosion-occurs-in-a-car-in-sanchaung",FALSE,"Administrative office","Public Transportation","Government/Political",NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"A car bomb detonated outside an administrative office on Kyun Taw Road, Sanchaung Township, Yangon, Yangon region, at around 1300hrs on 13 June. It is unknown whether anyone was hurt. No one had claimed responsibility for the attack at the time of writing, but given target and tactic, 'civil resistance groups' were probably responsible.","war","conflict"
"Myanmar","MMR","MMR.15_1",59599,"Asia-Pacific","non-West",2021,2021-06-14,2021-06-14,16.826517,96.12866,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://twitter.com/MayZawHtoo2/status/1404466545145700356","https://twitter.com/Poeouou/status/1404447505434169350",FALSE,"Bus stop","Undetermined","Public Transportation",NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"A bomb detonated near the SinYayDwin bus stop, Kamaryut township, Yangon, Yangon region, at around 2020hrs on 14 June. No one was hurt. No group had claimed the attack at the time of writing, but based on tactic, target and location, 'civil resistance groups' were probably responsible.","war","conflict"
"Myanmar","MMR","MMR.12_1",59602,"Asia-Pacific","non-West",2021,2021-06-13,2021-06-13,22.682215,95.3194,"Sagaing","Armed attack","Unknown","Undetermined",NA,NA,NA,NA,"https://www.myanmar-now.org/en/news/daughters-of-junta-appointed-village-administrator-in-depayin-killed","https://elevenmyanmar.com/news/three-people-including-sac-appointed-village-administrator-killed-in-depayin",FALSE,"Daughters of village administrator","Government/Political",NA,NA,NA,NA,NA,NA,2,0,0,0,"Melee weapons",NA,NA,NA,"Assailants stabbed and killed two women in Depayin Township, Shwebo district, Sagaing region, at around 1830hrs on 13 June. Local media outlets said that the victims' father is a junta-appointed village administrator. No one had claimed responsibility for the attack at the time of writing, but given targets and tactic, 'civil resistance groups' were probably responsible.","war","conflict"
"Myanmar","MMR","MMR.12_1",59603,"Asia-Pacific","non-West",2021,2021-06-13,2021-06-13,22.682215,95.3194,"Sagaing","Assassination","Unknown","Undetermined",NA,NA,NA,NA,"https://www.myanmar-now.org/en/news/daughters-of-junta-appointed-village-administrator-in-depayin-killed","https://elevenmyanmar.com/news/three-people-including-sac-appointed-village-administrator-killed-in-depayin",FALSE,"Former village administrator","Government/Political","Civilians/General Public",NA,NA,NA,NA,NA,1,0,0,0,"Firearms",NA,NA,NA,"Gunmen killed a former village administrator in Depaying Township, Shwebo district, Sagaing region, at around 1800hrs on 13 June. Local media outlets reported that residents had accused him of being a military informant. No one had claimed responsibility at the time of writing, but given target and tactic, 'civil resistance groups' were probably responsible.","war","conflict"
"Myanmar","MMR","MMR.15_1",59607,"Asia-Pacific","non-West",2021,2021-06-15,2021-06-15,16.907179,96.09778,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://twitter.com/khin_ksh/status/1404824446909566980","https://twitter.com/NadiZ2001/status/1405112398810292230",FALSE,"Junta office","Government/Political",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"A bomb detonated outside a junta office in Phawkan ward, Insein township, Yangon, Yangon region, at around 1915hrs on 15 June. No one was hurt. No group had claimed the attack at the time of writing, but based on tactic, target and location, a 'civil resistance group' was probably responsible.","war","conflict"
"Myanmar","MMR","MMR.15_1",59608,"Asia-Pacific","non-West",2021,2021-06-15,2021-06-15,16.758755,96.248215,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://twitter.com/Edward_247/status/1404800747200466957","https://twitter.com/NadiZ2001/status/1405112398810292230",FALSE,"Junta office","Government/Political",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"A bomb detonated outside a junta office in Thanlyin township, Yangon region, at around 1930hrs on 15 June. No one was hurt. No group had claimed the attack at the time of writing, but based on tactic, target and location, a 'civil resistance group' was probably responsible.","war","conflict"
"Myanmar","MMR","MMR.15_1",59609,"Asia-Pacific","non-West",2021,2021-06-16,2021-06-16,16.88193,96.05733,"Yangon","Armed attack","Unknown","Undetermined",NA,NA,NA,NA,"https://twitter.com/LeongWaiKitCNA/status/1405024820505366529","https://twitter.com/SpringBago/status/1405025475852849164",FALSE,"Ward administrator","Government/Political",NA,NA,NA,NA,NA,NA,1,0,0,0,"Firearms",NA,NA,NA,"Gunmen killed a ward administrator in Hlaing Tharyar Township, Yangon, Yangon region, in the morning of 16 June. No group had claimed the attack at the time of writing, but based on tactic, target and location, a 'civil resistance group' was probable responsible.","war","conflict"
"Myanmar","MMR","MMR.15_1",59610,"Asia-Pacific","non-West",2021,2021-06-01,2021-06-01,16.794022,96.17587,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://elevenmyanmar.com/news/an-explosion-occurred-near-noodle-store-in-thaketa-township-no-2-market","https://twitter.com/Surinalucy/status/1399766549041274880",FALSE,"Yuzana Plaza","Retail Sector","Public Spaces",NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"Two explosive devices exploded outside Yuzana Plaza, Banyardala road, Mingala Taungnyunt township, Yangon, at around 2220hrs on 1 June. No one was hurt. No group had clailmed the attack at the time of writing, but based on tactic and location, 'civil resistance groups' were probably responsible.","war","conflict"
"Myanmar","MMR","MMR.12_1",59615,"Asia-Pacific","non-West",2021,2021-06-14,2021-06-14,22.943163,95.37563,"Sagaing","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://twitter.com/PhyoPhy95194729/status/1404992109053059072","https://twitter.com/Myat17348004/status/1405085878326677507",FALSE,"Checkpoint","Military","Civilians/General Public",NA,NA,NA,NA,NA,1,0,0,0,"Explosives",NA,NA,NA,"A bombing of unknown type killed a civilian at a checkpoint in Taze Township, Shwebo district, Sagaing region, at around 1900hrs on 14 June. No one had claimed responsibility for the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.12_1",59616,"Asia-Pacific","non-West",2021,2021-06-02,2021-06-02,22.943163,95.37563,"Sagaing","Assassination","Unknown","Undetermined",NA,NA,NA,NA,"https://www.irrawaddy.com/news/burma/myanmar-daily-post-coup-update-june-2.html","https://www.myanmar-now.org/en/news/ward-administrator-killed-in-taze-sagaing-region",FALSE,"Ward administrator","Government/Political",NA,NA,NA,NA,NA,NA,1,0,0,0,"Firearms",NA,NA,NA,"Gunmen killed a junta-appointed ward administrator in Taze Township, Shwebo district, Sagaing region, on 2 June. A civil resistance group called Taze People's Comrades claimed responsibility for the assassination.","war","conflict"
"Myanmar","MMR","MMR.15_1",59619,"Asia-Pacific","non-West",2021,2021-06-14,2021-06-14,16.776287,96.14306,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://www.facebook.com/MyanmarNowEnglishVersion/photos/a.1498730383751534/2673609489596945/","https://twitter.com/Eindra1121/status/1405105038792355841",FALSE,"","Undetermined",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"A bomb detonated on 10th Street in Lanmadaw Township, Yangon, Yangon region, at around 1500hrs on 14 June. It is unclear whether anyone was hurt and what the target was. No one had claimed responsibility at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59633,"Asia-Pacific","non-West",2021,2021-06-16,2021-06-16,16.881538,96.0499,"Yangon","Armed attack","Unknown","Undetermined",NA,NA,NA,NA,"https://myanmar-now.org/en/news/two-former-village-administrators-assassinated-in-taze","https://twitter.com/Danielisgreat1/status/1405017945546186756",FALSE,"Ward administrator","Government/Political",NA,NA,NA,NA,NA,NA,1,0,0,0,"Firearms",NA,NA,NA,"Gunmen killed a ward administrator at a bus stop at Pinlon Market in Hlaing Tharyar Township, Yangon, Yangon region, at around 0940hrs on 16 June. No one had claimed the attack at the time of writing, but given target, tactic and location, a 'civil resistance group' was probably responsible.","war","conflict"
"Myanmar","MMR","MMR.12_1",59634,"Asia-Pacific","non-West",2021,2021-06-16,2021-06-16,22.943163,95.37563,"Sagaing","Armed attack","Unknown","Undetermined",NA,NA,NA,NA,"https://www.myanmar-now.org/en/news/two-former-village-administrators-assassinated-in-taze","https://twitter.com/ThitSar97232250/status/1405190386528649217",FALSE,"Former village administrator","Civilians/General Public","Government/Political",NA,NA,NA,NA,NA,1,0,0,0,"Melee weapons",NA,NA,NA,"Assailants stabbed and killed a former village administrator in Taze Township, Shwebo district, Sagaing region, at around 0900hrs on 16 June. No one had claimed responsibility at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59640,"Asia-Pacific","non-West",2021,2021-06-18,2021-06-18,16.801502,96.17734,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://www.irrawaddy.com/news/burma/myanmar-military-truck-with-soldiers-on-board-blown-up-in-yangon.html","https://twitter.com/hninyadanazaw/status/1405820146787110914",FALSE,"USDP office, army vehicle","Military","Public Transportation","Government/Political",NA,NA,NA,NA,1,0,0,0,"Explosives",NA,NA,NA,"A car bombing killed at least one soldier in a military truck on Kyauk Myaung Street in Tamwe Township, Yangon, Yangon region, at around 1520hrs on 18 June. It is unclear how many people were hurt, but local media outlets reported that 'photos of blown-up body parts' were circulating on social media. The truck was reportedly parked outside an office of a party with close ties to the military junta, the Union Solidarity and Development Party (USDP). A civil resistance group calling itself Anti-Fascist Armed Force of Yangon claimed responsibility.","war","conflict"
"Myanmar","MMR","MMR.15_1",59641,"Asia-Pacific","non-West",2021,2021-06-18,2021-06-18,16.80774,96.17541,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://twitter.com/SuMyatYadanarL1/status/1405848692213489664","https://twitter.com/hninyadanazaw/status/1405825258200780804",FALSE,"","Undetermined",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"A bomb of unknown type detonated at Tamwe Market, Tamwe Township, Yangon, Yangon region, at around 1520hrs on 18 June. It is unknown whether anyone was hurt or what the target was. Another bomb detonated around the same time in a different location in Tamwe Township. No one had claimed responsibility for the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59643,"Asia-Pacific","non-West",2021,2021-06-18,2021-06-18,16.8759,96.06281,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://www.facebook.com/thanlwinkhetnews/posts/1245884172510812","https://asia.nikkei.com/Spotlight/Myanmar-Coup/Myanmar-coup-latest-Seven-explosions-heard-in-Yangon-as-military-truck-burnt-down",FALSE,"Government buildings","Government/Political","Military",NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"Local media outlets reported that four bombs of unknown type detonated near government buildings and military offices on Kyan Sittar Road, Hlaing Tharyar Township, Yangon, Yangon region, at around 1500hrs on 18 June. It is unknown whether anyone was hurt. No one had claimed responsibility at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.8_1",59644,"Asia-Pacific","non-West",2021,2021-06-14,2021-06-14,21.466223,95.38872,"Mandalay","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://twitter.com/prikichaddadda/status/1404447575269273601","https://twitter.com/MoeMyatThaw6/status/1404484874963144708",FALSE,"Railway","Public Transportation",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"Assailats detonated a bomb on a railway track in Myingyan, Mandalay region, at around 1800hrs on 14 June. No one was hurt. No group had claimed the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59645,"Asia-Pacific","non-West",2021,2021-06-17,2021-06-17,16.823662,96.16495,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://www.myanmar-now.org/en/news/anti-regime-group-bombs-condo-project-linked-to-junta-cabinet-member","https://twitter.com/Tonylatte1/status/1405513190658740232",FALSE,"Apartment complex with ties to junta","Construction/Real Estate","Government/Political",NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"A bomb detonated at the 68 Residence luxury apartment project on the corner of Kabar Aye Pagoda and Sayar San Roads in Bahan Township, Yangon, Yangon region, at around 0500hrs on 17 June. It was not known if anyone was hurt. A local media outlet reported that the owner of the project is related to a military junta cabinet member. A 'civil resistance group' calling itself Yangon Urban Guerrilla Group claimed responsibility.","war","conflict"
